bID,name,address,cord,numOfReview,rating,zipcode,cuisine
_ilI4Knop17ZFODCoYsUxQ,Flavor of India,"12321 Ventura Blvd, Studio City, CA 91604","34.14326, -118.40163",520,4.5,91604,indian
_iTGWmqoXHzErudLCz-CFg,Dumpling Generation - Edmonds,"23830 Hwy 99, Ste 115, Edmonds, WA 98026","47.7827568054199, -122.344734191895",375,4,98026,chinese
_k_gpRudZiwpRt8Yby3JwA,J5 Steakhouse,"21814 Hwy 71 W, Spicewood, TX 78669","30.36377, -98.06937",141,4,78669,japanese
_LL0cTi1MTiIl-d3Px-QNA,Don Japanese Kitchen,"411 W 23rd, Austin, TX 78705","30.286432, -97.742651",224,4.5,78705,japanese
_lQGmkw63PESnnffUzl4fg,Kimchi House,"5809 24th Ave NW, Seattle, WA 98107","47.6713381, -122.3878017",278,4.5,98107,japanese
_m17RWLoKvoE1vkcu1mocA,Sunday Gravy,"1122 Centinela Ave, Inglewood, CA 90302","33.9766, -118.35857",218,4.5,90302,italian
_MBtSvScNk6mjkvYf6nD5g,Battubelin,"749 NE 79th St, Miami, FL 33138","25.84833, -80.18114",141,4.5,33138,italian
_MI7i8S21HcJ7w4zO7aXMg,Biryani Pointe - Lombard,"40 West Roosevelt Rd, Lombard, IL 60148","41.8601663, -88.0190442",50,3,60148,indian
_MnIiS_b3enHyx8Y62gd4Q,Oriole,"661 W Walnut St, Chicago, IL 60661","41.8860966, -87.6449481",311,5,60661,american
_MrI1UWy4pEPw2dA8CU6CQ,Basant Modern Indian,"1939 W Byron St, Chicago, IL 60613","41.952252, -87.677768",76,5,60613,indian
_mUfL_2XFbZ_CVKeIkBFUg,Zucca,"162 Alcazar Ave, Coral Gables, FL 33134","25.7528858184814, -80.2584686279297",272,4,33134,italian
_n0fEUZdbkLOimHz_IXkiQ,JOEY DTLA,"700 W 7th St, Ste S430, Los Angeles, CA 90017","34.04836, -118.25876",1423,4.5,90017,american
_NDdlbax39DR54FAjfllpg,Box Bar,"5401 California Ave SW, Seattle, WA 98136","47.55378, -122.38728",51,5,98136,american
_njeaLgMzbaVT5VGUb_YTg,40 North,"900 W 10th St, AUSTIN, TX 78703","30.2749757, -97.7517051",238,4.5,78703,italian
_nScWpFX3M1K7s30hFEsRw,INDAY,"1133 Broadway, New York, NY 10010","40.7434986, -73.9892206",358,4,10010,indian
_obwG8MG2OuFUe1TW3BjGw,Stateside,"300 E Pike St, Ste 1200, Seattle, WA 98122","47.6141895780828, -122.327432663824",954,4,98122,chinese
_oe6JWspSqSeTrFAS7kIkw,Indian Bistro,"732 E Dundee Rd, Palatine, IL 60074","42.139525, -88.02534",262,4,60074,indian
_oUB45nznsdeKn9O9LBPmA,Oriental Express,"7517 Cameron Rd, Ste 130, Austin, TX 78752","30.32943, -97.68905",137,3,78752,chinese
_OvpwIXRqRXkVjCguyxgXA,Maggiano's Little Italy,"10910 Domain Dr, Ste 100, Austin, TX 78758","30.39556, -97.72694",781,3.5,78758,italian
_PAMFizVae51vlVYHy3dxQ,Sapphire,"2014 Broadway, New York, NY 10023","40.77582, -73.98188",15,3.5,10023,indian
_QU_V5NBPR4TwuQpNQndqQ,Li Hing,"5754 W Belmont Ave, Chicago, IL 60634","41.93878, -87.77103",154,4,60634,chinese
_R2AOf8Db30i3xjLl7uu_w,Yip - Wynwood,"143 NW 23rd St, Ste 3, 1-800-Lucky, Miami, FL 33127","25.79931, -80.198",73,4,33127,chinese
_R6EjbrynW_LFnmWoRqgww,Surya - Madam Ji,"154 Bleecker St, New York, NY 10012","40.728186, -73.999436",258,3.5,10012,indian
_riVMhD0kEh-_bNdRzkfig,Indian Bistro Express,"9108 W Golf Rd, Niles, IL 60714","42.0547498529528, -87.8536589504956",20,4,60714,indian
_RkJl2E45RgC_mGCrPXojA,Noma,"2031 Wilshire Blvd, Santa Monica, CA 90403","34.0320629, -118.4825751",705,4,90403,japanese
_RYB1TIj4MeiBm63iLyxHg,Mort Subite,"308 Congress Ave, Austin, TX 78701","30.265719, -97.7439904",99,4.5,78701,american
_saXnBy0Wq2Gb3YusWZhqw,Five Senses,"9 W 32nd St, New York, NY 10001","40.747573158626, -73.9863122632311",1516,4,10001,chinese
_StOUGMGMmENR44zAEoDrA,Big Star,"1531 N Damen Ave, Chicago, IL 60622","41.90919, -87.67712",3267,3.5,60622,american
_tMXqt6aeU_UajCi-Gov1Q,Black Market Miami,"168 SE 1st St, Miami, FL 33131","25.7732, -80.19053",277,4,33131,american
_VuS3owUXYOZosCbM-w9fw,Simply Pho House,"12913 Galleria Cir, Ste 101, Bee Cave, TX 78738","30.308610771530862, -97.94293753802778",264,3.5,78738,chinese
_wPEVw2gQpySK5GCA3dbsA,Tamari Bar,"500 E Pine St, Seattle, WA 98122","47.61537, -122.32534",399,4,98122,japanese
_WXa2M3gz2Mi0ys3s88nDw,La Salle Dumpling Room,"3141 Broadway, New York, NY 10027","40.81403, -73.95983",277,4,10027,chinese
_WzrhI273PHyyBS1oNKwMQ,Hillstone Restaurant,"201 Miracle Mile, Coral Gables, FL 33134","25.7499, -80.25892",988,3.5,33134,japanese
_WzrhI273PHyyBS1oNKwMQ,Hillstone Restaurant,"201 Miracle Mile, Coral Gables, FL 33134","25.7499, -80.25892",988,3.5,33134,american
_X1iEA_pgo6LErTefkHmWA,L. Woods Tap & Pine Lodge,"7110 N Lincoln Ave, Lincolnwood, IL 60712","42.0100908807828, -87.7378698840361",952,4,60712,american
_Xl_MwD9OPSGX5Qq2Wr7Ug,One Lenox,"1113 1st Ave, New York, NY 10065","40.76106, -73.96124",72,4.5,10065,american
_XlO_w2ASGea4jbnFFsf3Q,Amici's Trattoria Italiana,"10201 Hammocks Blvd, Ste 138, Miami, FL 33196","25.67315872846, -80.4420554983221",427,3.5,33196,italian
_XQN8eZ5Vm5_fEKm2hKR_g,Sushi Sake - Doral,"2600 Nw 87th Ave, Doral, FL 33172","25.79871, -80.33769",337,3,33172,japanese
_Y32xG_NYG0R1IRn9EccAg,La Gondola,"2914 N Ashland Ave, Chicago, IL 60657","41.9345793, -87.6686589",767,4,60657,italian
_yGGTnGcdYAZE4ctPP9kLg,Urban Coyote,"10030 Manchaca Rd, Austin, TX 78748","30.1707038879395, -97.8261260986328",1,2,78748,indian
_YjaIAfZVdfi4JDW9rSgKA,CY Chinese Restaurant,"1242 NE 163rd St, North Miami Beach, FL 33162","25.92516283, -80.17483213",120,4,33162,chinese
_ykbOZBmVl8Brlc23l-yCw,Casa Chan Restaurant,"2901 SW 8th St, Miami, FL 33135","25.7652995, -80.24115433",60,4,33135,chinese
_YOyvsx227lyGDoFfbd5Ug,The Desi Accent,"801 E Butterfield Rd, Ste 101, Lombard, IL 60148","41.839843, -87.996431",106,4.5,60148,indian
_Yx4OcyoYXTiI3xOzNgVyw,Pueblo Nuevo,"4342 N Central Ave, Chicago, IL 60634","41.960272, -87.76744",460,4.5,60634,american
_z_yU-duavPBAqHB64UpTA,Ciudad,"6118 12th Ave S, Seattle, WA 98108","47.54814, -122.3169",341,4.5,98108,italian
_z2_1TE_1brlvljiGtJ4mA,Aahar Indian Cuisine,"10 Murray St, New York, NY 10007","40.71334, -74.0081",360,4.5,10007,indian
_zJ6rrzDhHi1s_maPHePHA,Wahbi-Sabi Japanese & Korean Restaurant,"10032 Pines Blvd, Pembroke Pines, FL 33024","26.0080801397991, -80.2768270298839",37,4.5,33024,japanese
-0fjWWC2SY6kNxGfD8PKGg,Palermo Restaurant & Bar,"2392 21st St, Astoria, NY 11105","40.7769088448014, -73.9212289547099",245,4.5,11105,italian
-22GoLdX0clVOi-LVUJF6w,Midori Japanese Restaurant,"3310 W Bryn Mawr Ave, Chicago, IL 60659","41.9831782, -87.7117334",224,4,60659,japanese
-6zP5QS-wP9qpTKM1Aok6g,Couscous Restaurant,"1445 W Taylor St, Chicago, IL 60607","41.8691366, -87.6633982",174,3.5,60607,indian
-73lYnIMpqXG5gVTQOpH8g,Public School 213,"612 Flower St, Los Angeles, CA 90017","34.0498670183998, -118.257390769312",906,3.5,90017,american
-85pDrVcAdzNK55bFpintg,Shoal Creek Saloon,"909 N Lamar Blvd, Austin, TX 78703","30.2742751657888, -97.7523102139017",384,3.5,78703,american
-9NXuo0g_NwOPfnKX3Vr_g,DAMA,"612 E 11th St, Los Angeles, CA 90015","34.0352819442964, -118.253066191412",704,4.5,90015,american
-utbq_T-5ksWfzIBDRH2Og,Blu Fish Sushi Bistro,"130 N Nw Hwy, Park Ridge, IL 60068","42.01214, -87.831277",418,4,60068,japanese
-Z-Je-27YcpaLZTi76wYtg,Jin Chinese Kitchen,"1930 W Olympic Blvd, Los Angeles, CA 90006","34.0508076925021, -118.278640285134",25,4,90006,chinese
0_-4iI3bouR0DWhtCyIbcQ,The Henry,"120 North Robertson Blvd, Los Angeles, CA 90048","34.0761134, -118.383274",804,4,90048,american
0_JVkHVA7DFmwdbBTao2Bw,Zona Blu,"189 Weston Rd, Weston, FL 33326","26.1197663, -80.3623964",204,4,33326,italian
0_KhF7M-gPPM_7hYmQ8ljw,Fujiya Japanese Restaurant,"13750 SW 88th St, The Hammocks, FL 33186","25.6847336, -80.4182566",252,4,33186,japanese
00kdvS6FY0gTN5BV03tx5Q,Peak,"30 Hudson Yards, Fl 101, New York, NY 10001","40.7541644, -74.0009082",127,4.5,10001,american
018rYSHznjI1lzEU9PDavA,mkt.,"2108 N 55th St, Seattle, WA 98103","47.6686946, -122.3329512",325,4.5,98103,american
01FDp4ng4vuKBYTTwqSCeQ,Fuchai,"2506 NE 2nd Ave, Miami, FL 33137","25.8010114, -80.1910924",262,4.5,33137,chinese
01y1WQkE17aagTBRC8VIjw,Blu Sardinia,"8862 161st Ave NE, Redmond, WA 98052","47.681004, -122.125263",292,4,98052,italian
020u8CwE7epnFc0so4sRrw,Vinci Restaurant,"1732 N Halsted St, Chicago, IL 60614","41.9136528393318, -87.6485343190491",278,4,60614,italian
02vQKp7S8ouqn8nHZ_ZKmg,Ceviches by Divino,"46 Curtiss Pkwy, Miami Springs, FL 33166","25.8218692203356, -80.2812635154137",409,5,33166,japanese
03aWq_nF8NUUW9gPzO0hxA,Agasajo Restaurant,"205 Aragon Ave, Coral Gables, FL 33134","25.75062, -80.25899",29,4.5,33134,american
03cmZDFqNsBVZsWzNC0Bcw,Cafe India,"19817 44th Ave W, Lynnwood, WA 98036","47.81856, -122.29186",150,3.5,98036,indian
04_NFpV3xvgNLWqENrYrcg,Kazumi Modern Japanese,"260 Crandon Blvd, Ste 16, Key Biscayne, FL 33149","25.6968690197172, -80.1635699653626",74,3.5,33149,japanese
040dxBZu2Zu5_SLrzqV88Q,The Bombay Frankie Company - Woodland Hills,"21853 Ventura Blvd, Woodland Hills, CA 91364","34.1676139831543, -118.6045150756836",124,4,91364,indian
08k0jjos42MrcMxtiOlPxA,Skylight Gardens,"1139 Glendon Ave, Los Angeles, CA 90024","34.06003, -118.44397",734,4,90024,italian
08k0jjos42MrcMxtiOlPxA,Skylight Gardens,"1139 Glendon Ave, Los Angeles, CA 90024","34.06003, -118.44397",734,4,90024,american
08NNTZj1uwaDnuM1yH-Nuw,Pure Organic Kitchen & Juicery,"9925 SW Bank Rd, Vashon, WA 98070","47.4472389221191, -122.461471557617",56,4.5,98070,indian
08wLD2pUdZV73zHywMpREA,Musashino Sushi Dokoro,"2905 San Gabriel St, Ste 200, Austin, TX 78705","30.2980839, -97.7475817",708,4,78705,chinese
08wLD2pUdZV73zHywMpREA,Musashino Sushi Dokoro,"2905 San Gabriel St, Ste 200, Austin, TX 78705","30.2980839, -97.7475817",708,4,78705,japanese
08XjJLyGOYqOb3PyptDmXw,Capriccio Ristorante,"2424 N University Dr, Pembroke Pines, FL 33024","26.0301978, -80.2491461",397,4,33024,italian
08XjJLyGOYqOb3PyptDmXw,Capriccio Ristorante,"2424 N University Dr, Pembroke Pines, FL 33024","26.0301978, -80.2491461",397,4,33024,american
09blBsRSKJxL0vmeA6Ctlw,Desi Diner,"247 S Bolingbrook Dr, Bolingbrook, IL 60440","41.69341, -88.07018",46,3.5,60440,indian
09FkGuYnK01QcedyoTOP6Q,K C Paan & Chaat House,"18630 Pioneer Blvd, Artesia, CA 90701","33.8619113, -118.081975",91,4,90701,indian
0axnkZlDiQcJVc06DDXxGQ,Ristorante Il Melograno,"501 W 51st St, New York, NY 10019","40.7654289685161, -73.9914178848267",336,4,10019,italian
0b6AU869xq6KXdK3NtVJnw,Kabul House,"2424 Dempster St, Evanston, IL 60202","42.04066, -87.70823",1035,4.5,60202,indian
0Bm2vjJW5Fw7_Maer6kDUw,Melt Shop,"135 W 50th St, New York, NY 10019","40.76091344676272, -73.9825650029376",614,4,10019,american
0BzxIsoRuFvxbMPl-iH70A,Market Table,"54 Carmine St, New York, NY 10014","40.7297659255873, -74.0037665277862",807,4,10014,american
